agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1972,6,213.7,30
USGS,05320500,00060,325200,,1972,7,412.5,31
USGS,05320500,00060,325200,,1972,8,134.6,31
USGS,05320500,00060,325200,,1972,9,97.7,30
USGS,05320500,00060,325200,,1972,10,226.6,31
USGS,05320500,00060,325200,,1972,11,647.7,30
USGS,05320500,00060,325200,,1972,12,247.8,31
USGS,05320500,00060,325200,,1973,1,152.2,31
USGS,05320500,00060,325200,,1973,2,186.6,28
USGS,05320500,00060,325200,,1973,3,3036.0,31
USGS,05320500,00060,325200,,1973,4,1532.0,30
USGS,05320500,00060,325200,,1973,5,2365.0,31
USGS,05320500,00060,325200,,1973,6,567.2,30
USGS,05320500,00060,325200,,1973,7,201.3,31
USGS,05320500,00060,325200,,1973,8,140.0,31
USGS,05320500,00060,325200,,1973,9,163.3,30
USGS,05320500,00060,325200,,1973,10,993.3,31
USGS,05320500,00060,325200,,1973,11,1073.0,30
USGS,05320500,00060,325200,,1973,12,489.1,31
USGS,05320500,00060,325200,,1974,1,125.7,31
USGS,05320500,00060,325200,,1974,2,195.9,28
USGS,05320500,00060,325200,,1974,3,878.0,31
USGS,05320500,00060,325200,,1974,4,1669.0,30
USGS,05320500,00060,325200,,1974,5,1064.0,31
USGS,05320500,00060,325200,,1974,6,1710.0,30
USGS,05320500,00060,325200,,1974,7,201.7,31
USGS,05320500,00060,325200,,1974,8,117.8,31
USGS,05320500,00060,325200,,1974,9,25.4,30
USGS,05320500,00060,325200,,1974,10,31.3,31
USGS,05320500,00060,325200,,1974,11,43.6,30
USGS,05320500,00060,325200,,1974,12,35.0,31
USGS,05320500,00060,325200,,1975,1,23.0,31
USGS,05320500,00060,325200,,1975,2,23.0,28
USGS,05320500,00060,325200,,1975,3,168.5,31
USGS,05320500,00060,325200,,1975,4,2656.0,30
USGS,05320500,00060,325200,,1975,5,1662.0,31
USGS,05320500,00060,325200,,1975,6,2742.0,30
USGS,05320500,00060,325200,,1975,7,870.4,31
USGS,05320500,00060,325200,,1975,8,48.0,31
USGS,05320500,00060,325200,,1975,9,24.3,30
USGS,05320500,00060,325200,,1975,10,17.0,31
USGS,05320500,00060,325200,,1975,11,48.6,30
USGS,05320500,00060,325200,,1975,12,58.2,31
USGS,05320500,00060,325200,,1976,1,23.0,31
USGS,05320500,00060,325200,,1976,2,43.4,29
USGS,05320500,00060,325200,,1976,3,312.2,31
USGS,05320500,00060,325200,,1976,4,171.9,30
USGS,05320500,00060,325200,,1976,5,62.7,31
