parm_cd,group,parm_nm,parm_unit
63950,"Organics, PCBs","PCB congener 116, water, filtered, recoverable, picograms per liter",pg/l
63951,"Organics, PCBs","PCB congener 117, water, filtered, recoverable, picograms per liter",pg/l
63952,"Organics, PCBs","PCB congener 118, water, filtered, recoverable, picograms per liter",pg/l
63953,"Organics, PCBs","PCB congener 119, water, filtered, recoverable, picograms per liter",pg/l
63954,"Organics, PCBs","PCB congener 120, water, filtered, recoverable, picograms per liter",pg/l
63955,"Organics, PCBs","PCB congener 121, water, filtered, recoverable, picograms per liter",pg/l
63956,"Organics, PCBs","PCB congener 122, water, filtered, recoverable, picograms per liter",pg/l
63957,"Organics, PCBs","PCB congener 123, water, filtered, recoverable, picograms per liter",pg/l
63958,"Organics, PCBs","PCB congener 124, water, filtered, recoverable, picograms per liter",pg/l
63959,"Organics, PCBs","PCB congener 125, water, filtered, recoverable, picograms per liter",pg/l
63960,"Organics, PCBs","PCB congener 126, water, filtered, recoverable, picograms per liter",pg/l
63961,"Organics, PCBs","PCB congener 127, water, filtered, recoverable, picograms per liter",pg/l
63962,"Organics, PCBs","PCB congener 128, water, filtered, recoverable, picograms per liter",pg/l
63963,"Organics, PCBs","PCB congener 129, water, filtered, recoverable, picograms per liter",pg/l
63964,"Organics, PCBs","PCB congener 130, water, filtered, recoverable, picograms per liter",pg/l
63965,"Organics, PCBs","PCB congener 131, water, filtered, recoverable, picograms per liter",pg/l
63966,"Organics, PCBs","PCB congener 132, water, filtered, recoverable, picograms per liter",pg/l
63967,"Organics, PCBs","PCB congener 133, water, filtered, recoverable, picograms per liter",pg/l
63968,"Organics, PCBs","PCB congener 134, water, filtered, recoverable, picograms per liter",pg/l
63969,"Organics, PCBs","PCB congener 135, water, filtered, recoverable, picograms per liter",pg/l
63970,"Organics, PCBs","PCB congener 136, water, filtered, recoverable, picograms per liter",pg/l
63971,"Organics, PCBs","PCB congener 137, water, filtered, recoverable, picograms per liter",pg/l
63972,"Organics, PCBs","PCB congener 138, water, filtered, recoverable, picograms per liter",pg/l
63973,"Organics, PCBs","PCB congener 139, water, filtered, recoverable, picograms per liter",pg/l
63974,"Organics, PCBs","PCB congener 140, water, filtered, recoverable, picograms per liter",pg/l
63975,"Organics, PCBs","PCB congener 141, water, filtered, recoverable, picograms per liter",pg/l
63976,"Organics, PCBs","PCB congener 142, water, filtered, recoverable, picograms per liter",pg/l
63977,"Organics, PCBs","PCB congener 143, water, filtered, recoverable, picograms per liter",pg/l
63978,"Organics, PCBs","PCB congener 144, water, filtered, recoverable, picograms per liter",pg/l
63979,"Organics, PCBs","PCB congener 145, water, filtered, recoverable, picograms per liter",pg/l
63980,"Organics, PCBs","PCB congener 146, water, filtered, recoverable, picograms per liter",pg/l
63981,"Organics, PCBs","PCB congener 147, water, filtered, recoverable, picograms per liter",pg/l
63982,"Organics, PCBs","PCB congener 148, water, filtered, recoverable, picograms per liter",pg/l
63983,"Organics, PCBs","PCB congener 149, water, filtered, recoverable, picograms per liter",pg/l
63984,"Organics, PCBs","PCB congener 150, water, filtered, recoverable, picograms per liter",pg/l
63985,"Organics, PCBs","PCB congener 151, water, filtered, recoverable, picograms per liter",pg/l
63986,"Organics, PCBs","PCB congener 152, water, filtered, recoverable, picograms per liter",pg/l
63987,"Organics, PCBs","PCB congener 153, water, filtered, recoverable, picograms per liter",pg/l
63988,"Organics, PCBs","PCB congener 154, water, filtered, recoverable, picograms per liter",pg/l
63989,"Organics, PCBs","PCB congener 155, water, filtered, recoverable, picograms per liter",pg/l
63990,"Organics, PCBs","PCB congener 156, water, filtered, recoverable, picograms per liter",pg/l
63991,"Organics, PCBs","PCB congener 157, water, filtered, recoverable, picograms per liter",pg/l
63992,"Organics, PCBs","PCB congener 158, water, filtered, recoverable, picograms per liter",pg/l
63993,"Organics, PCBs","PCB congener 159, water, filtered, recoverable, picograms per liter",pg/l
63994,"Organics, PCBs","PCB congener 160, water, filtered, recoverable, picograms per liter",pg/l
63995,"Organics, PCBs","PCB congener 161, water, filtered, recoverable, picograms per liter",pg/l
63996,"Organics, PCBs","PCB congener 162, water, filtered, recoverable, picograms per liter",pg/l
63997,"Organics, PCBs","PCB congener 163, water, filtered, recoverable, picograms per liter",pg/l
63998,"Organics, PCBs","PCB congener 164, water, filtered, recoverable, picograms per liter",pg/l
63999,"Organics, PCBs","PCB congener 165, water, filtered, recoverable, picograms per liter",pg/l
64000,"Organics, PCBs","PCB congener 166, water, filtered, recoverable, picograms per liter",pg/l
64001,"Organics, PCBs","PCB congener 167, water, filtered, recoverable, picograms per liter",pg/l
64002,"Organics, PCBs","PCB congener 168, water, filtered, recoverable, picograms per liter",pg/l
64003,"Organics, PCBs","PCB congener 169, water, filtered, recoverable, picograms per liter",pg/l
64004,"Organics, PCBs","PCB congener 170, water, filtered, recoverable, picograms per liter",pg/l
64005,"Organics, PCBs","PCB congener 171, water, filtered, recoverable, picograms per liter",pg/l
64006,"Organics, PCBs","PCB congener 172, water, filtered, recoverable, picograms per liter",pg/l
64007,"Organics, PCBs","PCB congener 173, water, filtered, recoverable, picograms per liter",pg/l
64008,"Organics, PCBs","PCB congener 174, water, filtered, recoverable, picograms per liter",pg/l
64009,"Organics, PCBs","PCB congener 175, water, filtered, recoverable, picograms per liter",pg/l
64010,"Organics, PCBs","PCB congener 176, water, filtered, recoverable, picograms per liter",pg/l
64011,"Organics, PCBs","PCB congener 177, water, filtered, recoverable, picograms per liter",pg/l
64012,"Organics, PCBs","PCB congener 178, water, filtered, recoverable, picograms per liter",pg/l
64013,"Organics, PCBs","PCB congener 179, water, filtered, recoverable, picograms per liter",pg/l
64014,"Organics, PCBs","PCB congener 180, water, filtered, recoverable, picograms per liter",pg/l
64015,"Organics, PCBs","PCB congener 181, water, filtered, recoverable, picograms per liter",pg/l
64016,"Organics, PCBs","PCB congener 182, water, filtered, recoverable, picograms per liter",pg/l
64017,"Organics, PCBs","PCB congener 183, water, filtered, recoverable, picograms per liter",pg/l
64018,"Organics, PCBs","PCB congener 184, water, filtered, recoverable, picograms per liter",pg/l
64019,"Organics, PCBs","PCB congener 185, water, filtered, recoverable, picograms per liter",pg/l
64020,"Organics, PCBs","PCB congener 186, water, filtered, recoverable, picograms per liter",pg/l
64021,"Organics, PCBs","PCB congener 187, water, filtered, recoverable, picograms per liter",pg/l
64022,"Organics, PCBs","PCB congener 188, water, filtered, recoverable, picograms per liter",pg/l
64023,"Organics, PCBs","PCB congener 189, water, filtered, recoverable, picograms per liter",pg/l
64024,"Organics, PCBs","PCB congener 190, water, filtered, recoverable, picograms per liter",pg/l
64025,"Organics, PCBs","PCB congener 191, water, filtered, recoverable, picograms per liter",pg/l
64026,"Organics, PCBs","PCB congener 192, water, filtered, recoverable, picograms per liter",pg/l
64027,"Organics, PCBs","PCB congener 193, water, filtered, recoverable, picograms per liter",pg/l
64028,"Organics, PCBs","PCB congener 194, water, filtered, recoverable, picograms per liter",pg/l
64029,"Organics, PCBs","PCB congener 195, water, filtered, recoverable, picograms per liter",pg/l
64030,"Organics, PCBs","PCB congener 196, water, filtered, recoverable, picograms per liter",pg/l
64031,"Organics, PCBs","PCB congener 197, water, filtered, recoverable, picograms per liter",pg/l
64032,"Organics, PCBs","PCB congener 198, water, filtered, recoverable, picograms per liter",pg/l
64033,"Organics, PCBs","PCB congener 199, water, filtered, recoverable, picograms per liter",pg/l
64034,"Organics, PCBs","PCB congener 200, water, filtered, recoverable, picograms per liter",pg/l
64035,"Organics, PCBs","PCB congener 201, water, filtered, recoverable, picograms per liter",pg/l
64036,"Organics, PCBs","PCB congener 202, water, filtered, recoverable, picograms per liter",pg/l
64037,"Organics, PCBs","PCB congener 203, water, filtered, recoverable, picograms per liter",pg/l
64038,"Organics, PCBs","PCB congener 204, water, filtered, recoverable, picograms per liter",pg/l
64039,"Organics, PCBs","PCB congener 205, water, filtered, recoverable, picograms per liter",pg/l
64040,"Organics, PCBs","PCB congener 206, water, filtered, recoverable, picograms per liter",pg/l
64041,"Organics, PCBs","PCB congener 207, water, filtered, recoverable, picograms per liter",pg/l
64042,"Organics, PCBs","PCB congener 208, water, filtered, recoverable, picograms per liter",pg/l
64043,"Organics, PCBs","PCB congener 209, water, filtered, recoverable, picograms per liter",pg/l
64044,"Organics, Pesticide","Fenpropathrin, water, filtered, recoverable, micrograms per liter",ug/l
64045,"Organics, Pesticide","Hydroxydimethenamid, water, filtered, recoverable, micrograms per liter",ug/l
64047,"Organics, Other","Isoepichlortetracycline, water, filtered, recoverable, micrograms per liter",ug/l
64048,"Organics, Other","Microcystin RR, water, filtered, recoverable, micrograms per liter",ug/l
64049,"Organics, Other","Bromobenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64050,"Organics, Other","1-Chlorohexane, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64051,"Organics, Other","2-Chlorotoluene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64052,"Organics, Pesticide","1,3-Dichloropropane, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64054,"Organics, Other","1,2,4,5-Tetrachlorobenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64055,"Organics, Pesticide","2,3,4,6-Tetrachlorophenol, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64056,"Organics, Other","2,6-Dichlorophenol, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64057,"Organics, Other","2-Acetylaminofluorene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64058,"Organics, Other","2-Naphthylamine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64059,"Organics, Other","2-Picoline, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64060,"Organics, Other","3-Methylcholanthrene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64061,"Organics, Other","m-Cresol plus p-cresol, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64062,"Organics, Other","4-Aminobiphenyl, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64063,"Organics, Other","5-Nitro-o-toluidine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64064,"Organics, Other","7,12-Dimethylbenzo[a]anthracene (DMBA), solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64065,"Organics, Other","alpha,alpha-Dimethylphenethylamine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64066,"Organics, Other","Aniline, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64067,"Organics, Other","Benzyl alcohol, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64068,"Organics, Pesticide","Diallate, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64069,"Organics, Other","Ethyl methanesulfonate, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64070,"Organics, Other","Hexachloropropene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64071,"Organics, Pesticide","Isodrin, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64072,"Organics, Other","Methapyrilene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64073,"Organics, Other","Methyl methanesulfonate, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64074,"Organics, Other","N-Nitrosodi-n-butylamine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64075,"Organics, Other","N-Nitrosodiethylamine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64076,"Organics, Other","N-Nitrosomethylethylamine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64077,"Organics, Other","N-Nitrosopiperidine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64078,"Organics, Other","N-Nitrosopyrrolidine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64079,"Organics, Other","4-Nitroquinoline-1-oxide, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64080,"Organics, Pesticide","O,O,O-Triethyl phosphorothioate, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64081,"Organics, Other","o-Toluidine, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64082,"Organics, Pesticide","Pentachlorobenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64083,"Organics, Other","Phenacetin, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64084,"Organics, Other","Safrole, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64085,"Organics, Other","Tris(2,3-dibromopropyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64086,"Organics, Other","Methyl tert-butyl ether (MTBE), solids, recoverable, dry weight, milligrams per kilogram",mg/kg
64087,"Organics, Other","Gasoline range organic compounds, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64088,"Organics, Other","Benzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64089,"Organics, Other","Ethylbenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64090,"Organics, Other","Toluene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64091,"Organics, Other","m-Xylene plus p-xylene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64092,"Organics, Other","o-Xylene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64093,"Organics, Pesticide","Phorate sulfoxide, water, filtered, recoverable, micrograms per liter",ug/l
64094,Physical,"Fluorescence at 650-700 nm as a fraction of incident light at 470 nm, measured in situ, percent",%
64095,"Organics, Other","1,2,4-Trichlorobenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64096,"Organics, Other","1,2-Dichlorobenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64097,"Organics, Other","1,2-Dimethylnaphthalene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64098,"Organics, Other","1,3-Dichlorobenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
64099,"Organics, Other","1,6-Dimethylnaphthalene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
